연도,시도,구분,심한장애(남),심한장애(여),심한장애(계),심하지 않은 장애(남),심하지 않은 장애(여),심하지 않은 장애(계),합계(남),합계(여),합계(계)
2020 ,울산광역시,언어,152 ,62 ,214 ,144 ,71 ,215 ,296 ,133 ,429 
2020 ,세종특별자치시,언어,29 ,10 ,39 ,56 ,12 ,68 ,85 ,22 ,107 
2020 ,제주특별자치도,언어,144 ,58 ,202 ,143 ,58 ,201 ,287 ,116 ,403 
2020 ,소계,지적,130767 ,86341 ,217108 ,0 ,0 ,0 ,130767 ,86341 ,217108 
2020 ,서울특별시,지적,16596 ,10488 ,27084 ,0 ,0 ,0 ,16596 ,10488 ,27084 
2020 ,부산광역시,지적,7361 ,4757 ,12118 ,0 ,0 ,0 ,7361 ,4757 ,12118 
2020 ,대구광역시,지적,6219 ,4073 ,10292 ,0 ,0 ,0 ,6219 ,4073 ,10292 
2020 ,인천광역시,지적,6565 ,4258 ,10823 ,0 ,0 ,0 ,6565 ,4258 ,10823 
2020 ,광주광역시,지적,4139 ,2961 ,7100 ,0 ,0 ,0 ,4139 ,2961 ,7100 
2020 ,대전광역시,지적,3937 ,2713 ,6650 ,0 ,0 ,0 ,3937 ,2713 ,6650 
2020 ,울산광역시,지적,2687 ,1743 ,4430 ,0 ,0 ,0 ,2687 ,1743 ,4430 
2020 ,세종특별자치시,지적,696 ,420 ,1116 ,0 ,0 ,0 ,696 ,420 ,1116 
2020 ,제주특별자치도,지적,1937 ,1456 ,3393 ,0 ,0 ,0 ,1937 ,1456 ,3393 
2020 ,소계,뇌병변,81735 ,69092 ,150827 ,61968 ,37612 ,99580 ,143703 ,106704 ,250407 
2020 ,서울특별시,뇌병변,13801 ,10895 ,24696 ,10443 ,5766 ,16209 ,24244 ,16661 ,40905 
2020 ,부산광역시,뇌병변,6593 ,5176 ,11769 ,4985 ,2977 ,7962 ,11578 ,8153 ,19731 
2020 ,대구광역시,뇌병변,4128 ,3387 ,7515 ,3341 ,1893 ,5234 ,7469 ,5280 ,12749 
2020 ,인천광역시,뇌병변,4377 ,3602 ,7979 ,3263 ,1948 ,5211 ,7640 ,5550 ,13190 
2020 ,광주광역시,뇌병변,2247 ,1930 ,4177 ,1668 ,1058 ,2726 ,3915 ,2988 ,6903 
2020 ,대전광역시,뇌병변,2368 ,2149 ,4517 ,1696 ,1071 ,2767 ,4064 ,3220 ,7284 
2020 ,울산광역시,뇌병변,1632 ,1360 ,2992 ,1105 ,732 ,1837 ,2737 ,2092 ,4829 
2020 ,세종특별자치시,뇌병변,361 ,315 ,676 ,256 ,155 ,411 ,617 ,470 ,1087 
2020 ,제주특별자치도,뇌병변,1100 ,988 ,2088 ,884 ,595 ,1479 ,1984 ,1583 ,3567 
2020 ,소계,자폐성,25946 ,4856 ,30802 ,0 ,0 ,0 ,25946 ,4856 ,30802 
